id,topic,description,risk_symptom,recommended_precaution,severity_level,tags,reference_type
154,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,fever,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
155,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,fever,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
156,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,persistent headaches,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
157,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,heavy bleeding,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",educational
158,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,fever,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
159,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,heavy bleeding,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
160,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
161,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,fever,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
162,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,persistent headaches,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
163,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,fever,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
164,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,fever,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
165,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,fatigue,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
166,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,heavy bleeding,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
167,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,fever,maintain proper hygiene,high,"menstrual_health, maternal_safety, hygiene",educational
168,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,unusual discharge,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",educational
169,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,fatigue,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
170,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,persistent headaches,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
171,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,heavy bleeding,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
172,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,severe abdominal pain,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
173,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,severe abdominal pain,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",educational
174,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,severe abdominal pain,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",educational
175,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,fever,maintain proper hygiene,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
176,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,fatigue,ensure adequate hydration,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
177,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,dizziness,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",educational
178,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,persistent headaches,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
179,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,persistent headaches,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",educational
180,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,fatigue,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
181,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,persistent headaches,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
182,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,severe abdominal pain,maintain proper hygiene,moderate,"menstrual_health, maternal_safety, hygiene",educational
183,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,severe abdominal pain,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
184,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,persistent headaches,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",educational
185,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,dizziness,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
186,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,severe abdominal pain,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
187,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,persistent headaches,ensure adequate hydration,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
188,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,fever,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
189,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,unusual discharge,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
190,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,dizziness,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
191,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,heavy bleeding,ensure adequate hydration,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
192,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,unusual discharge,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",educational
193,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,severe abdominal pain,maintain proper hygiene,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
194,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",educational
195,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,severe abdominal pain,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
196,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,dizziness,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
197,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,dizziness,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",educational
198,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,heavy bleeding,maintain proper hygiene,high,"menstrual_health, maternal_safety, hygiene",educational
199,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",educational
200,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,dizziness,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
201,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
202,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,fatigue,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
203,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,unusual discharge,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
204,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,severe abdominal pain,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
205,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,severe abdominal pain,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",educational
206,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,severe abdominal pain,maintain proper hygiene,high,"menstrual_health, maternal_safety, hygiene",educational
207,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,persistent headaches,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
208,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,fatigue,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
209,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,fatigue,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",educational
210,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,fever,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
211,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,persistent headaches,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",educational
212,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,fever,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",educational
213,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,fever,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
214,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,dizziness,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
215,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,heavy bleeding,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
216,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,severe abdominal pain,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
217,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,severe abdominal pain,maintain proper hygiene,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
218,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,fatigue,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",educational
219,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,fatigue,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",educational
220,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,dizziness,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
221,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,unusual discharge,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",educational
222,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,heavy bleeding,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",educational
223,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,fever,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",educational
224,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,persistent headaches,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",educational
225,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,fatigue,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
226,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,unusual discharge,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
227,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,severe abdominal pain,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
228,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,severe abdominal pain,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",educational
229,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,fatigue,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",educational
230,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,heavy bleeding,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",educational
231,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,fatigue,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
232,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,heavy bleeding,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
233,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,unusual discharge,maintain proper hygiene,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
234,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,persistent headaches,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
235,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,persistent headaches,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",educational
236,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,fever,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
237,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,unusual discharge,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",educational
238,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,persistent headaches,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
239,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,severe abdominal pain,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
240,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,fever,maintain proper hygiene,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
241,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,unusual discharge,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
242,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,fever,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
243,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,fever,maintain proper hygiene,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
244,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,persistent headaches,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
245,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,unusual discharge,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
246,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,fever,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
247,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,severe abdominal pain,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",educational
248,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,fatigue,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
249,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,dizziness,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
250,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,dizziness,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
251,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,fatigue,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
252,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,fatigue,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
253,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,severe abdominal pain,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",educational
254,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,dizziness,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
255,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",educational
256,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,persistent headaches,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",educational
257,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,unusual discharge,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",educational
258,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,dizziness,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
259,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,heavy bleeding,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
260,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,unusual discharge,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
261,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,heavy bleeding,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
262,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,dizziness,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",educational
263,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,heavy bleeding,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
264,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,persistent headaches,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
265,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,severe abdominal pain,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
266,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,unusual discharge,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",educational
267,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,fever,maintain proper hygiene,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
268,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,severe abdominal pain,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",educational
269,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,heavy bleeding,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
270,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,heavy bleeding,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
271,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,persistent headaches,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
272,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,unusual discharge,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
273,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,dizziness,maintain proper hygiene,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
274,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,fever,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
275,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,heavy bleeding,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
276,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,severe abdominal pain,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",educational
277,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,fever,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
278,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,dizziness,maintain proper hygiene,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
279,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,fatigue,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
280,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,dizziness,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
281,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,persistent headaches,maintain proper hygiene,high,"menstrual_health, maternal_safety, hygiene",educational
282,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,unusual discharge,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
283,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,fever,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",educational
284,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,fatigue,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",educational
285,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,fever,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
286,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,unusual discharge,maintain proper hygiene,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
287,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,fever,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
288,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,fever,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
289,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,unusual discharge,maintain proper hygiene,high,"menstrual_health, maternal_safety, hygiene",educational
290,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,fatigue,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",educational
291,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,unusual discharge,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
292,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,unusual discharge,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",educational
293,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,unusual discharge,maintain proper hygiene,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
294,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,dizziness,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
295,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",educational
296,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,unusual discharge,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
297,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,unusual discharge,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
298,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,dizziness,maintain proper hygiene,high,"menstrual_health, maternal_safety, hygiene",educational
299,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,severe abdominal pain,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",educational
300,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,severe abdominal pain,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",educational
301,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,unusual discharge,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",educational
302,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,unusual discharge,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",educational
303,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,fever,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
304,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,fever,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
305,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,unusual discharge,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",educational
306,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,fever,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
307,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,fatigue,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
